post_id,post_type,likes,comments,date_posted,vectorize,content,metadata,username
2945340685641255291,static-image,4710,25,2022-10-09T16:13:12,"A post with username:""arshgoyalyt"", post_id: ""2945340685641255291"", post_type: ""static-image"", likes: 4710, comments: 25, date_posted: ""2022-10-09T16:13:12"".","A post with username:""arshgoyalyt"", post_id: ""2945340685641255291"", post_type: ""static-image"", likes: 4710, comments: 25, date_posted: ""2022-10-09T16:13:12"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2945010346511248229,static-image,1733,13,2022-10-09T05:16:52,"A post with username:""arshgoyalyt"", post_id: ""2945010346511248229"", post_type: ""static-image"", likes: 1733, comments: 13, date_posted: ""2022-10-09T05:16:52"".","A post with username:""arshgoyalyt"", post_id: ""2945010346511248229"", post_type: ""static-image"", likes: 1733, comments: 13, date_posted: ""2022-10-09T05:16:52"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2944673876979554127,static-image,2008,4,2022-10-08T18:08:22,"A post with username:""arshgoyalyt"", post_id: ""2944673876979554127"", post_type: ""static-image"", likes: 2008, comments: 4, date_posted: ""2022-10-08T18:08:22"".","A post with username:""arshgoyalyt"", post_id: ""2944673876979554127"", post_type: ""static-image"", likes: 2008, comments: 4, date_posted: ""2022-10-08T18:08:22"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2944298743436326779,static-image,8642,22,2022-10-08T05:43:03,"A post with username:""arshgoyalyt"", post_id: ""2944298743436326779"", post_type: ""static-image"", likes: 8642, comments: 22, date_posted: ""2022-10-08T05:43:03"".","A post with username:""arshgoyalyt"", post_id: ""2944298743436326779"", post_type: ""static-image"", likes: 8642, comments: 22, date_posted: ""2022-10-08T05:43:03"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2935147636613121858,static-image,5918,27,2022-09-25T14:41:26,"A post with username:""arshgoyalyt"", post_id: ""2935147636613121858"", post_type: ""static-image"", likes: 5918, comments: 27, date_posted: ""2022-09-25T14:41:26"".","A post with username:""arshgoyalyt"", post_id: ""2935147636613121858"", post_type: ""static-image"", likes: 5918, comments: 27, date_posted: ""2022-09-25T14:41:26"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2934446936949947576,static-image,1554,7,2022-09-24T15:29:16,"A post with username:""arshgoyalyt"", post_id: ""2934446936949947576"", post_type: ""static-image"", likes: 1554, comments: 7, date_posted: ""2022-09-24T15:29:16"".","A post with username:""arshgoyalyt"", post_id: ""2934446936949947576"", post_type: ""static-image"", likes: 1554, comments: 7, date_posted: ""2022-09-24T15:29:16"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2934276536102495372,static-image,1481,13,2022-09-24T09:50:42,"A post with username:""arshgoyalyt"", post_id: ""2934276536102495372"", post_type: ""static-image"", likes: 1481, comments: 13, date_posted: ""2022-09-24T09:50:42"".","A post with username:""arshgoyalyt"", post_id: ""2934276536102495372"", post_type: ""static-image"", likes: 1481, comments: 13, date_posted: ""2022-09-24T09:50:42"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2930180941080923091,static-image,2593,11,2022-09-18T18:13:29,"A post with username:""arshgoyalyt"", post_id: ""2930180941080923091"", post_type: ""static-image"", likes: 2593, comments: 11, date_posted: ""2022-09-18T18:13:29"".","A post with username:""arshgoyalyt"", post_id: ""2930180941080923091"", post_type: ""static-image"", likes: 2593, comments: 11, date_posted: ""2022-09-18T18:13:29"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2929278819378875235,static-image,2500,31,2022-09-17T12:21:08,"A post with username:""arshgoyalyt"", post_id: ""2929278819378875235"", post_type: ""static-image"", likes: 2500, comments: 31, date_posted: ""2022-09-17T12:21:08"".","A post with username:""arshgoyalyt"", post_id: ""2929278819378875235"", post_type: ""static-image"", likes: 2500, comments: 31, date_posted: ""2022-09-17T12:21:08"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2924698694817442943,static-image,2038,7,2022-09-11T04:41:15,"A post with username:""arshgoyalyt"", post_id: ""2924698694817442943"", post_type: ""static-image"", likes: 2038, comments: 7, date_posted: ""2022-09-11T04:41:15"".","A post with username:""arshgoyalyt"", post_id: ""2924698694817442943"", post_type: ""static-image"", likes: 2038, comments: 7, date_posted: ""2022-09-11T04:41:15"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2924298483003723948,static-image,5015,46,2022-09-10T15:26:06,"A post with username:""arshgoyalyt"", post_id: ""2924298483003723948"", post_type: ""static-image"", likes: 5015, comments: 46, date_posted: ""2022-09-10T15:26:06"".","A post with username:""arshgoyalyt"", post_id: ""2924298483003723948"", post_type: ""static-image"", likes: 5015, comments: 46, date_posted: ""2022-09-10T15:26:06"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2921460036687339550,static-image,2080,13,2022-09-06T17:26:37,"A post with username:""arshgoyalyt"", post_id: ""2921460036687339550"", post_type: ""static-image"", likes: 2080, comments: 13, date_posted: ""2022-09-06T17:26:37"".","A post with username:""arshgoyalyt"", post_id: ""2921460036687339550"", post_type: ""static-image"", likes: 2080, comments: 13, date_posted: ""2022-09-06T17:26:37"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2916244942926192642,reels,5688,13,2022-08-30T12:47:51,"A post with username:""arshgoyalyt"", post_id: ""2916244942926192642"", post_type: ""reels"", likes: 5688, comments: 13, date_posted: ""2022-08-30T12:47:51"".","A post with username:""arshgoyalyt"", post_id: ""2916244942926192642"", post_type: ""reels"", likes: 5688, comments: 13, date_posted: ""2022-08-30T12:47:51"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
